"fields__id","fields__label","fields__type","data__001","data__002","data__003","data__004","data__005","data__006","data__007","data__008","data__009","data__010","data__011","data__012"
"a","Year","string","2006-07","Quantity","5350.91","1331.15","128.42","259.04","147.55","28.8","19","260.59","7525.46","7365.64"
"b","Grade","string","2006-07","Value","10012.42","2159.41","320.83","1389.95","280.14","31.79","52.16","525.69","14772.39","5650.53"
"c","Export - Shellac & button lac","string","2007-08","Quantity","5400.53","1507.14","82.25","141.67","191.4","0.31","17.16","565.87","7906.33","5797.22"
"d","Export - Seedlac","string","2007-08","Value","7568.12","1942.84","215.48","1718.65","350.81","1.5","27.52","601.95","12426.87","3461.59"
"e","Export - Dewaxed shellac","string","2008-09","Quantity","5088.65","913.66","391.68","125","398.6","8.68","42.15","NA","6968.42","2102.49"
"f","Export - Aleuritic Acid","string","2008-09","Value","7628.86","1301.22","1126.57","1315.34","942.64","14.36","85.51","NA","12414.5","1597.3"
"g","Export - Bleached lac","string","2009-10","Quantity","4708.06","753.42","517.84","72.05","341.93","0.86","28.45","NA","6422.61","NA"
"h","Export - Gasket shellac","string","2009-10","Value","7066.48","959.54","1321.8","746.15","844.9","1.51","61.95","NA","11002.33","NA"
"i","Export - Shellac wax","string","2010-11","Quantity","4616.18","1089.55","200.12","64","336.13","4.32","28.75","NA","6339.05","NA"
"j","Export - Other","string","2010-11","Value","13565.14","3659.44","1051.68","1118.13","1598.86","6.62","113.05","NA","21112.92","NA"
"k","Export - Total","string","2011-12","Quantity","4479.31","1657.09","293.64","64","310.06","5.18","47.86","0.002","6858.21","NA"
"l","Import - lac","string","","","","","","","","","","","",""
